week_start,hours
2025-09-22,6.0
2025-09-29,11.0
2025-09-06,0.0
2025-10-13,7.5
2025-10-20,4.0
2025-10-27,0.0
2025-11-03,0.0
2025-11-10,4.0
2025-11-17,11.0
2025-11-24,20.5
